word,normal_cnt,abnormal_cnt
晚间公告热点追踪,260.0,4.0
原油,259.0,
助,259.0,4.0
数字化转型,258.0,4.0
重磅,258.0,3.0
扶贫,258.0,3.0
赚钱,257.0,1.0
中证,257.0,
复工,257.0,6.0
亿美元,257.0,7.0
曝光,254.0,1.0
使用闲置自有资金购买,254.0,6.0
人寿,254.0,9.0
变更,253.0,6.0
快,253.0,3.0
首单,253.0,3.0
化工,252.0,1.0
这家,252.0,3.0
委员会,252.0,9.0
APP,251.0,9.0
自贸区,251.0,2.0
董秘,251.0,3.0
持有人,250.0,7.0
路,250.0,3.0
境外,250.0,5.0
约,250.0,4.0
武汉,249.0,7.0
走强,248.0,13.0
筹建,248.0,1.0
中签,247.0,2.0
处罚,247.0,3.0
回购,246.0,3.0
出手,246.0,4.0
渠道,245.0,6.0
位,245.0,11.0
房地产,245.0,5.0
固收,244.0,5.0
募资,244.0,6.0
票据,243.0,3.0
下调,243.0,4.0
改善,243.0,2.0
辞职,243.0,
领域,242.0,2.0
低,242.0,5.0
银华基金,242.0,2.0
数字,242.0,4.0
跌停,242.0,7.0
预计,242.0,4.0
绿色,241.0,3.0
平稳,240.0,
监管分局,240.0,11.0
股市,240.0,8.0
明显,239.0,4.0
总经理,238.0,1.0
三大,238.0,5.0
钱,238.0,1.0
北向,238.0,19.0
最低,237.0,2.0
实现净利润,237.0,2.0
医疗,236.0,3.0
厦门,236.0,5.0
科创,236.0,13.0
主题,236.0,2.0
反弹,236.0,5.0
四川,236.0,11.0
息差,235.0,
拟向,235.0,5.0
销售,235.0,7.0
债务,234.0,4.0
地产,234.0,1.0
南方,233.0,1.0
大行,233.0,8.0
两位数,233.0,12.0
!,233.0,2.0
保持,231.0,3.0
举办,231.0,3.0
华夏,231.0,6.0
解读,230.0,
亏损,230.0,5.0
天津,229.0,3.0
成绩单,229.0,2.0
中国银行保险,228.0,10.0
违法,228.0,1.0
收益率,227.0,
财富,227.0,4.0
灵活配置混合型证券投资基金,227.0,3.0
看好,227.0,4.0
辞任,227.0,2.0
财政部,227.0,
亮相,227.0,3.0
能否,226.0,7.0
私募,226.0,4.0
趋势,226.0,2.0
民企,226.0,4.0
三年,225.0,2.0
综合,225.0,3.0
曾,225.0,1.0
四大行,225.0,3.0
深度,225.0,6.0
精选,225.0,6.0
现金,225.0,4.0
冻结,224.0,1.0
举牌,224.0,6.0
罚款,224.0,2.0
两家,224.0,2.0
?,223.0,3.0
初步配售结果,223.0,2.0
机会,223.0,6.0
进,222.0,1.0
涉,222.0,1.0
北京分行,222.0,7.0
中银,222.0,6.0
力度,221.0,2.0
走,221.0,6.0
净买入,221.0,14.0
使用暂时闲置,220.0,7.0
需,220.0,1.0
实际使用情况,220.0,
期限,219.0,
行情,219.0,14.0
签署战略合作协议,218.0,5.0
同意,218.0,6.0
北上资金,218.0,13.0
新高,218.0,13.0
十,217.0,5.0
团队,217.0,2.0
防疫,217.0,5.0
行为,216.0,5.0
逾期,216.0,2.0
监督管理,216.0,8.0
零售业务,216.0,3.0
优先股,216.0,1.0
薪酬,215.0,1.0
同业,215.0,6.0
发,215.0,7.0
排名,215.0,13.0
早报,214.0,2.0
国家,214.0,3.0
延期,214.0,4.0
超预期,214.0,1.0
型,213.0,1.0
黄金,213.0,
千万,213.0,1.0
榜单,213.0,10.0
青睐,212.0,5.0
空间,212.0,5.0
集中,211.0,2.0
创,211.0,10.0
第三季度,211.0,
美元,211.0,3.0
苏农银行,210.0,
参与,210.0,3.0
投放,209.0,5.0
目标价,208.0,5.0
智慧,208.0,3.0
决议公告,208.0,11.0
成功发行,207.0,4.0
一家,207.0,
暨,207.0,6.0
投,206.0,5.0
平均,206.0,4.0
云,206.0,1.0
抗击疫情,206.0,6.0
金额,206.0,4.0
季度,206.0,2.0
消费金融,206.0,4.0
措施,205.0,6.0
说,205.0,3.0
东方,204.0,4.0
补血,204.0,3.0
中期票据,204.0,6.0
公告精选,204.0,4.0
系,203.0,3.0
权益,203.0,5.0
国内,203.0,6.0
让利,203.0,10.0
到期,202.0,2.0
买入,201.0,6.0
下半年,201.0,5.0
实控,201.0,1.0
涨幅,200.0,11.0
比例,200.0,3.0
注册资本,199.0,3.0
转让,199.0,1.0
