ticker,date,true_volatility,st_true_volatility
601998,2016/2/16,0.017052198,0.730264247
1,2016/2/17,0.014908402,0.044217854
600015,2016/2/17,0.01522903,0.641737212
600016,2016/2/17,0.009106223,0.090273805
600036,2016/2/17,0.011435624,-0.27008675
601009,2016/2/17,0.019069306,0.243700697
601166,2016/2/17,0.012140751,0.267624219
601169,2016/2/17,0.013576645,0.43556426
601288,2016/2/17,0.009374673,0.238028254
601328,2016/2/17,0.010879613,0.401887826
601398,2016/2/17,0.008971982,0.009034439
601818,2016/2/17,0.012727177,0.325017665
601939,2016/2/17,0.010168682,-0.061902408
601988,2016/2/17,0.012032101,0.69676431
601998,2016/2/17,0.018310252,0.886222787
1,2016/2/18,0.013791632,-0.076989818
600015,2016/2/18,0.015033363,0.61909892
600016,2016/2/18,0.009434778,0.136028623
600036,2016/2/18,0.010835613,-0.360365507
601009,2016/2/18,0.01641558,0.103957195
601166,2016/2/18,0.012209191,0.278252515
601169,2016/2/18,0.01436509,0.516728154
601288,2016/2/18,0.008609485,0.100911065
601328,2016/2/18,0.010879613,0.401887826
601398,2016/2/18,0.008889862,-0.004907644
601818,2016/2/18,0.012727177,0.325017665
601939,2016/2/18,0.010168682,-0.061902408
601988,2016/2/18,0.0119684,0.685750741
601998,2016/2/18,0.018225286,0.875689716
1,2016/2/19,0.024088667,1.040590025
600015,2016/2/19,0.026346569,1.928014871
600016,2016/2/19,0.015737237,1.013713827
600036,2016/2/19,0.01812699,0.736708461
601009,2016/2/19,0.031129477,0.878781533
601166,2016/2/19,0.018062518,1.187236964
601169,2016/2/19,0.017273645,0.816139842
601288,2016/2/19,0.012074153,0.721759195
601328,2016/2/19,0.022185147,2.193573789
601398,2016/2/19,0.009378606,0.07806982
601818,2016/2/19,0.02406606,1.989970318
601939,2016/2/19,0.017251758,0.865631248
601988,2016/2/19,0.019446734,1.978715506
601998,2016/2/19,0.01985609,1.077857358
1,2016/2/22,0.025546478,1.198812289
600015,2016/2/22,0.027708503,2.085587988
600016,2016/2/22,0.017852968,1.308352125
